1000  0.010468  999000  499500
10000  0.446132  99990000  49995000
100000  42.932450  9999900000  4999950000
200000  215.838401  39999800000  19999900000
300000  551.661895  89999700000  44999850000
400000  744.832737  159999600000  79999800000
500000  1450.105700  249999500000  124999750000
600000  1967.578099  359999400000  179999700000
700000  2792.319604  489999300000  244999650000
800000  3584.016330  639999200000  319999600000
900000  4499.910007  809999100000  404999550000
1000000  5588.802260  999999000000  499999500000
