1000  0.005514  499500  249185
10000  0.300751  49995000  24975864
100000  32.723894  4999950000  2503447952
200000  171.666300  19999900000  9972990404
300000  388.640345  44999850000  22450657498
400000  686.498350  79999800000  40027774620
500000  1059.212025  124999750000  62394784027
600000  1522.274723  179999700000  90007121038
700000  2107.295848  244999650000  122787869370
800000  2764.840854  319999600000  159986677534
900000  3542.099250  404999550000  202396643276
1000000  4391.192904  499999500000  250053898107
